Age,Gender,Education (last/ongoing),With whom do you live?,What is your thinking about drug?,With whom do you spend most of your times?,Did you ever fail in your life?,Do you get suicidal thoughts?,How is your family relationship?,What is the financial condition of your family?,How many addicted friends do you have?,Do you have any addicted person in your family?,Are you satisfied with your workplace?,Do you have any case running at court or police station?,Do you live with any drug user?,What can be the factors for using drug?,Have you ever taken drug?,What is the name of the drug you used for the 1st time?,At what age you used drugs for the 1st time?,How often do you use drugs?,What drug do you use currently?,In what occasions do you use drugs?,"If you have a chance, will you taste drug?",Is it easy to control the use of drug?,Why did you start using drugs?,Do you feel guilty after taking drugs?
21,Male,Postgraduate (MSc/PhD),Hall/Hostel,Should avoid,Alone,Yes,No,Very good,Medium,More than 5,No,Yes,No,Yes,"Teenagers curiosity, Friends offer, Access to drugs, Low cost of drugs, Stress relief, Failure in love, Emotionally hurt by others",Yes,Cigarette,21,"No, I do not",No drug,Do not use,Yes,Yes,"Friends offer, Stress relief",Sometimes
23,Male,Undergraduate,Friends,"Disease, should avoid",Friends,No,No,Satisfactory,Medium,None,No,Yes,No,No,Friends offer,No,,,,,,,,,
23,Male,Undergraduate,Family,Should avoid,Alone,Yes,Yes,Satisfactory,Medium,More than 5,Maybe,No,No,No,Emotionally hurt by others,No,,,,,,No,No,,
21,Male,Undergraduate,Family,Should avoid,Alone,Yes,Yes,Communication gap,Medium,More than 5,No,Yes,No,No,"Friends offer, Stress relief, Failure in love, Emotionally hurt by others",No,,,,,,No,No,,
22,Male,Undergraduate,Hall/Hostel,Should avoid,Family/Relatives,Yes,No,Very good,Medium,More than 5,Yes,No,Yes,No,,No,Never taken,No,"No, I do not",No drug,Do not use,Yes,Yes,Friends offer,No
15,Male,S.S.C / O level,Family,Should avoid,Family/Relatives,No,No,Very good,Medium,None,No,Yes,Yes,No,"Teenagers curiosity, Peer pressure, Failure in love, Emotionally hurt by others",No,,I don’t use drug,"No, I do not",Others,Do not use,No,No,,No
22,Female,Undergraduate,Family,Should avoid,Family/Relatives,No,Yes,Satisfactory,Medium,None,No,Yes,No,No,Teenagers curiosity,No,,,,,,,,,
23,Male,Undergraduate,Family,Should avoid,Friends,Yes,Yes,Very good,Poor,More than 5,Yes,No,No,Yes,"Low self-confidence, Friends offer, Low cost of drugs, Failure in love, Emotionally hurt by others",No,Weed,20,Ocasionally,No drug,Others,No,Yes,Failure in love,Yes
23,Male,Undergraduate,Hall/Hostel,Social trend,Alone,Yes,No,Very good,Medium,,,,,,,,,no,"No, I do not",,Social gathering,Yes,Yes,,Sometimes
22,Male,Undergraduate,Family,Should avoid,Alone,No,No,Very good,Medium,None,No,No,No,No,"Teenagers curiosity, Joy-seeking, Low self-confidence, Parents’ divorce, Crowded family, Friends offer, Access to drugs, Low cost of drugs, Peer pressure, Stress relief, Failure in love, Emotionally hurt by others",Yes,Alcohol,17,Ocasionally,Cigarette,Others,Yes,No,"Teenagers curiosity, Stress relief",Sometimes
23,Male,Undergraduate,Family,"Disease, should avoid",Friends,Yes,No,Satisfactory,Medium,None,No,Yes,No,No,,No,,,,,,No,,,
,Male,Undergraduate,Friends,"Social trend, should avoid",Friends,No,No,Very good,Medium,4-Jan,No,Yes,No,No,"Teenagers curiosity, Parents’ divorce, Friends offer, Stress relief, Failure in love",Yes,Weed,16,Ocasionally,Cigarette,Social gathering,Confused,No,Teenagers curiosity,Yes
23,Male,Undergraduate,Family,Should avoid,Family/Relatives,Yes,No,Very good,Medium,None,No,Yes,No,No,"Teenagers curiosity, Joy-seeking, Having strict parents, Friends offer, Stress relief, Failure in love, Emotionally hurt by others",Yes,Weed,16,"No, I do not",Cigarette,At parties,No,Yes,"Teenagers curiosity, Friends offer",Sometimes
22,Female,Undergraduate,Family,"Social trend, should avoid",Alone,Yes,Yes,Very good,Rich,More than 5,No,No,No,No,Joy-seeking,Yes,Cigarette,18,More than once a day,Cigarette,Before exams,No,Yes,Failure in love,Sometimes
23,Male,Undergraduate,Hall/Hostel,Should avoid,Alone,Yes,Yes,Very good,Medium,None,No,No,No,No,"Teenagers curiosity, Parents’ divorce, Friends offer, Access to drugs, Low cost of drugs, Stress relief, Failure in love, Emotionally hurt by others",Yes,Cigarette,22,Ocasionally,Cigarette,Social gathering,No,No,Teenagers curiosity,Yes
24,Male,Undergraduate,Alone,Should avoid,Alone,Yes,No,Very good,Medium,4-Jan,No,Yes,No,No,"Failure in love, Emotionally hurt by others",No,Cigarette,None,"No, I do not",Cigarette,Do not use,No,No,"Failure in love, Emotionally hurt by others",Yes
23,Male,Undergraduate,Hall/Hostel,Should avoid,Friends,Yes,No,Very good,Medium,More than 5,No,Yes,No,No,"Teenagers curiosity, Positive attitude toward drug abuse, Friends offer, Access to drugs",Yes,Cigarette,19,"No, I do not",Cigarette,Do not use,No,Yes,"Teenagers curiosity, Friends offer",Yes
,Male,,Hall/Hostel,Should avoid,Family/Relatives,,No,Very good,Medium,None,No,Yes,No,No,,,,,,,,,,,
24,Male,Undergraduate,Family,"Social trend, should avoid",Family/Relatives,Yes,Yes,Satisfactory,Medium,More than 5,No,Yes,No,No,"Having strict parents, Friends offer, Access to drugs, Low cost of drugs",Yes,Cigarette,17,Ocasionally,No drug,Social gathering,,Yes,"Friends offer, Access to drugs, Emotionally hurt by others",Sometimes
21,Male,Undergraduate,Family,"Disease, social trend",Family/Relatives,Yes,No,Very good,Medium,None,No,Yes,No,No,"Teenagers curiosity, Joy-seeking, Positive attitude toward drug abuse, Low self-confidence, Parents’ divorce, Having strict parents, Friends offer, Access to drugs, Stress relief, Failure in love, Emotionally hurt by others",No,Never taken,,"No, I do not",No drug,Do not use,No,No,,
18,Male,H.S.C / A level,Family,Should avoid,Alone,Yes,No,Satisfactory,Medium,More than 5,No,Yes,Yes,No,"Teenagers curiosity, Positive attitude toward drug abuse, Friends offer, Access to drugs, Low cost of drugs, Stress relief, Failure in love, Emotionally hurt by others",No,Cigarette,18,"No, I do not",Cigarette,Do not use,No,No,,Yes
21,Female,Undergraduate,Family,"Social trend, should avoid",Family/Relatives,No,Yes,Average,Medium,None,Yes,Yes,No,No,"Teenagers curiosity, Low self-confidence, Parents’ divorce, Low cost of drugs, Stress relief, Failure in love, Emotionally hurt by others",No,Never taken,,"No, I do not",No drug,Do not use,No,Yes,,
26,Male,Undergraduate,Family,Should avoid,Family/Relatives,Yes,No,Very good,Medium,None,No,Yes,No,No,"Teenagers curiosity, Parents’ divorce, Crowded family, Friends offer, Access to drugs, Low cost of drugs, Peer pressure, Failure in love, Emotionally hurt by others",No,Never taken,,"No, I do not",No drug,Do not use,No,No,,
22,Female,Undergraduate,Family,Should avoid,Family/Relatives,No,No,Very good,Medium,None,No,Yes,No,No,Low self-confidence,No,Never taken,Never taken,"No, I do not",No drug,Do not use,No,Yes,,
23,Male,Undergraduate,Friends,Should avoid,Alone,Yes,No,Satisfactory,Poor,None,Yes,No,No,No,Teenagers curiosity,No,,,"No, I do not",No drug,Do not use,No,Yes,,
21,Male,Undergraduate,Hall/Hostel,"Social trend, should avoid",Friends,Yes,No,Very good,Poor,More than 5,No,Yes,Yes,No,Teenagers curiosity,Yes,Alcohol,2,,LSD,"Before exams, Others",No,No,Joy-seeking,No
22,Male,H.S.C / A level,Hall/Hostel,Should avoid,Alone,Yes,Yes,Very good,Medium,None,No,No,No,No,"Teenagers curiosity, Joy-seeking, Access to drugs, Failure in love, Emotionally hurt by others",No,,,,,,No,,,Yes
23,Male,Undergraduate,Family,Should avoid,Friends,Yes,No,Very good,Medium,None,No,Yes,No,No,"Parents’ divorce, Failure in love, Emotionally hurt by others",No,Cigarette,21,Once a week,Cigarette,Social gathering,No,No,,Yes
22,Male,Postgraduate (MSc/PhD),Alone,Social trend,Friends,Yes,Yes,Satisfactory,Rich,More than 5,No,No,No,Yes,"Teenagers curiosity, Positive attitude toward drug abuse, Crowded family, Friends offer, Access to drugs",Yes,LSD,Chodaice,More than once a day,"Cigarette, Alcohol, Weed, Yaba, Phensedyl, LSD, Heroin, Cocaine, Opium","Before exams, Social gathering",Yes,No,"Joy-seeking, Positive attitude toward drug abuse, Failure in love",Yes
19,Male,Undergraduate,Hall/Hostel,"Disease, should avoid",Alone,Yes,No,Satisfactory,Medium,More than 5,No,No,No,No,"Friends offer, Access to drugs, Failure in love, Emotionally hurt by others",No,Never taken,,"No, I do not",No drug,Do not use,No,,,
21,Male,Undergraduate,Hall/Hostel,"Social trend, should avoid",Family/Relatives,Yes,No,Very good,Medium,4-Jan,No,Yes,No,No,Friends offer,No,Cigarette,18,Several times a week,Cigarette,Others,No,Yes,Friends offer,Yes
25,Male,Undergraduate,Family,Social trend,Alone,Yes,No,Very good,Poor,More than 5,No,Yes,No,No,Teenagers curiosity,No,Cigarette,20,,Cigarette,Others,No,Yes,Stress relief,No
22,Male,Undergraduate,Hall/Hostel,Should avoid,Family/Relatives,Yes,No,Very good,Medium,4-Jan,No,Yes,No,No,Teenagers curiosity,No,Cigarette,19,Ocasionally,Cigarette,Social gathering,No,Yes,Failure in love,Yes
22,Female,Undergraduate,Family,"Social trend, should avoid",Family/Relatives,Yes,Yes,Satisfactory,Medium,None,No,,No,No,"Teenagers curiosity, Positive attitude toward drug abuse, Low self-confidence, Parents’ divorce, Having strict parents, Friends offer, Access to drugs, Stress relief, Failure in love, Emotionally hurt by others",No,,,,No drug,,No,No,,
28,Male,Undergraduate,Alone,Should avoid,Friends,Yes,No,Very good,Medium,More than 5,No,No,No,Yes,Failure in love,Yes,Cigarette,17,More than once a day,"Cigarette, Weed",On the street,Yes,Yes,Failure in love,Yes
16,Female,S.S.C / O level,Family,"Disease, should avoid",Family/Relatives,Yes,No,Satisfactory,Medium,None,No,No,No,No,Access to drugs,No,Never taken,,"No, I do not",No drug,Do not use,No,No,,
22,Male,Undergraduate,Hall/Hostel,"Disease, should avoid",Friends,Yes,No,Very good,Poor,More than 5,No,No,No,Yes,"Teenagers curiosity, Joy-seeking, Positive attitude toward drug abuse, Low self-confidence, Parents’ divorce, To eliminate shyness, Crowded family, Having strict parents, Friends offer, Access to drugs, Low cost of drugs, Peer pressure, Stress relief, Failure in love, Emotionally hurt by others",No,Never taken,Never,"No, I do not",No drug,Do not use,No,Yes,"Teenagers curiosity, Joy-seeking, Positive attitude toward drug abuse, Low self-confidence, Parents’ divorce, To eliminate shyness, Crowded family, Having strict parents, Friends offer, Access to drugs, Low cost of drugs, Peer pressure, Stress relief, Failure in love, Emotionally hurt by others",
22,Female,Undergraduate,Hall/Hostel,"Social trend, should avoid",Alone,Yes,No,Average,Medium,None,No,Yes,No,No,"Teenagers curiosity, Low self-confidence, Parents’ divorce, Friends offer, Stress relief, Emotionally hurt by others",No,,No,"No, I do not",,,No,,,
24,Male,Undergraduate,Family,"Social trend, should avoid",Friends,No,No,Very good,Medium,More than 5,No,Yes,No,No,"Teenagers curiosity, Positive attitude toward drug abuse, Crowded family, Having strict parents, Friends offer, Access to drugs, Low cost of drugs, Stress relief, Failure in love, Emotionally hurt by others",No,Cigarette,17,More than once a day,No drug,Do not use,No,Yes,,Yes
22,Female,Undergraduate,Family,"Disease, should avoid",Alone,No,Yes,Satisfactory,Medium,None,No,Yes,No,No,Friends offer,No,Never taken,Never taken ,"No, I do not",No drug,Do not use,No,Yes,,Yes
20,Female,Undergraduate,Hall/Hostel,Should avoid,Alone,Yes,Yes,,Medium,None,No,,No,No,"Teenagers curiosity, Low self-confidence, Parents’ divorce, Friends offer, Emotionally hurt by others",No,Never taken,,"No, I do not",No drug,Do not use,No,No,,
24,Male,Undergraduate,Hall/Hostel,"Disease, should avoid",Family/Relatives,Yes,No,Very good,Medium,None,No,Yes,No,No,,No,Cigarette,21,"No, I do not",No drug,Do not use,No,Yes,Emotionally hurt by others,Yes
21,Male,Undergraduate,Family,Should avoid,Alone,Yes,Yes,Average,Medium,None,No,No,No,No,"Teenagers curiosity, Friends offer, Stress relief, Emotionally hurt by others",Yes,Cigarette,16,"No, I do not",No drug,Do not use,Yes,No,Teenagers curiosity,No
23,Male,Undergraduate,Hall/Hostel,Should avoid,Alone,Yes,No,Very good,Medium,None,No,Yes,No,No,Low self-confidence,Yes,Cigarette,18,Once a day,Cigarette,"Before exams, Before doing sports, On the street, At parties, Social gathering, Do not use, Others",No,Yes,,Yes
22,Male,Undergraduate,Hall/Hostel,"Disease, should avoid",Friends,Yes,No,Satisfactory,Rich,More than 5,No,Yes,No,No,"Teenagers curiosity, Joy-seeking, Positive attitude toward drug abuse, Low self-confidence, To eliminate shyness, Stress relief, Failure in love, Emotionally hurt by others",No,Never taken,0,"No, I do not","No drug, Others",,No,No,,
22,Male,H.S.C / A level,Hall/Hostel,Should avoid,Friends,Yes,No,Very good,Medium,More than 5,No,No,No,No,Teenagers curiosity,No,Cigarette,22,Ocasionally,Cigarette,Others,Confused,No,Failure in love,No
23,Male,Undergraduate,Family,"Disease, should avoid",Family/Relatives,Yes,No,Satisfactory,Medium,4-Jan,No,Yes,No,No,Friends offer,No,Cigarette,,"No, I do not",No drug,Do not use,Confused,Yes,,Yes
25,Male,Undergraduate,Family,Should avoid,Friends,Yes,Yes,Very good,Medium,4-Jan,No,Yes,No,No,Joy-seeking,Yes,Cigarette,16,More than once a day,Cigarette,Others,Confused,Yes,"Teenagers curiosity, Joy-seeking",Sometimes
22,Female,Undergraduate,Family,"Social trend, should avoid",Family/Relatives,No,No,Very good,Poor,More than 5,No,No,No,No,Teenagers curiosity,No,,,,,,No,No,,
23,Male,Undergraduate,Hall/Hostel,Should avoid,Friends,No,No,Very good,Medium,None,No,Yes,No,No,Low cost of drugs,No,Cigarette,16,"No, I do not",No drug,Do not use,No,No,,Yes
22,Male,Undergraduate,Hall/Hostel,"Social trend, should avoid",Friends,Yes,Yes,Average,Medium,More than 5,No,No,Yes,Yes,"Teenagers curiosity, Joy-seeking, Friends offer, Access to drugs, Stress relief, Failure in love, Emotionally hurt by others",Yes,Cigarette,18,Once a day,"Cigarette, Cocaine",Social gathering,Yes,No,Friends offer,Sometimes
23,Male,Undergraduate,Family,Should avoid,Family/Relatives,Yes,No,Very good,Medium,None,No,Yes,No,No,"Teenagers curiosity, Access to drugs, Low cost of drugs, Stress relief, Failure in love, Emotionally hurt by others",No,Never taken,,"No, I do not",No drug,Do not use,No,No,,
23,Male,Undergraduate,Hall/Hostel,"Social trend, should avoid",Friends,Yes,No,Very good,Medium,More than 5,No,No,No,No,"Teenagers curiosity, Low self-confidence, Parents’ divorce, Friends offer, Low cost of drugs, Stress relief, Failure in love",Yes,Cigarette,18,More than once a day,Cigarette,"Before exams, Social gathering, Others",Yes,Yes,"Friends offer, Access to drugs",Sometimes
23,Others,Undergraduate,Family,Should avoid,Family/Relatives,No,No,Satisfactory,Medium,None,No,Yes,No,No,"Teenagers curiosity, Stress relief, Emotionally hurt by others",No,Never taken,Never used,"No, I do not",No drug,Do not use,Confused,No,,Yes
21,Male,Undergraduate,Family,"Disease, should avoid",Family/Relatives,Yes,No,Very good,Medium,4-Jan,No,Yes,No,No,Teenagers curiosity,No,Never taken,No,"No, I do not",No drug,Do not use,No,Yes,Teenagers curiosity,
22,Male,Undergraduate,Hall/Hostel,Should avoid,Alone,Yes,No,Satisfactory,Medium,4-Jan,No,Yes,No,No,"Teenagers curiosity, Joy-seeking, Access to drugs, Stress relief, Failure in love, Emotionally hurt by others",No,Never taken,Never,"No, I do not",No drug,Do not use,No,No,,
21,Male,Undergraduate,Family,"Disease, should avoid",Family/Relatives,Yes,No,Very good,Medium,4-Jan,No,Yes,No,No,"Teenagers curiosity, Parents’ divorce, Friends offer, Stress relief, Failure in love, Emotionally hurt by others",No,Never taken,No,"No, I do not",No drug,Do not use,No,Yes,"Teenagers curiosity, Failure in love, Emotionally hurt by others",Yes
22,Male,Undergraduate,Family,Should avoid,Friends,Yes,Yes,Very good,Medium,None,No,Yes,No,No,"Low self-confidence, Friends offer, Access to drugs, Low cost of drugs",No,Never taken,,"No, I do not",No drug,Do not use,No,Yes,,
23,Male,Undergraduate,Hall/Hostel,"Social trend, should avoid",Alone,No,No,Very good,Medium,None,No,No,No,Yes,Access to drugs,No,Never taken,,"No, I do not",No drug,Do not use,No,Yes,,
20,Male,Undergraduate,Hall/Hostel,Should avoid,Friends,Yes,No,Average,Medium,More than 5,No,No,No,No,"Teenagers curiosity, Low cost of drugs, Peer pressure, Stress relief, Failure in love, Emotionally hurt by others",No,Cigarette,17,Once a day,Cigarette,Others,Confused,Yes,"Friends offer, Access to drugs, Low cost of drugs, Peer pressure, Stress relief, Failure in love, Emotionally hurt by others",Yes
23,Male,Undergraduate,Friends,Social trend,Friends,Yes,No,Very good,Medium,More than 5,No,No,No,No,"Joy-seeking, Parents’ divorce, Friends offer",Yes,Cigarette,19,Once a day,Cigarette,At parties,Yes,Yes,Friends offer,Yes
,Male,Undergraduate,Hall/Hostel,"Disease, should avoid",Friends,Yes,No,Very good,Medium,4-Jan,Yes,No,No,No,"Having strict parents, Friends offer, Access to drugs, Failure in love",Yes,Cigarette,19,Ocasionally,Cigarette,Social gathering,Confused,No,Friends offer,Yes
25,Male,Undergraduate,Family,"Social trend, should avoid",Family/Relatives,No,No,Very good,Medium,4-Jan,Maybe,Yes,Yes,Yes,"Teenagers curiosity, Low self-confidence, Crowded family, Access to drugs, Failure in love",No,Alcohol,dont know,More than once a day,Cigarette,Before exams,No,Yes,,Sometimes
22,Male,Undergraduate,Family,"Social trend, should avoid",Family/Relatives,Yes,Yes,Very good,Medium,4-Jan,No,Yes,No,No,"Teenagers curiosity, Joy-seeking, Parents’ divorce, Friends offer",No,,,"No, I do not",,,No,Yes,,
22,Male,Undergraduate,Family,Should avoid,Family/Relatives,Yes,No,Very good,Medium,4-Jan,No,Yes,No,No,"Parents’ divorce, Friends offer, Access to drugs, Low cost of drugs, Failure in love, Emotionally hurt by others",No,Never taken,,"No, I do not",No drug,Do not use,No,No,,Yes
22,Female,Undergraduate,Family,"Social trend, should avoid",Family/Relatives,Yes,No,Very good,Medium,None,No,Yes,No,No,"Teenagers curiosity, Parents’ divorce, Having strict parents, Friends offer, Low cost of drugs, Stress relief, Failure in love, Emotionally hurt by others",No,Never taken,,"No, I do not",No drug,Do not use,No,Yes,,
23,Male,Undergraduate,Hall/Hostel,"Disease, should avoid",Friends,Yes,No,Very good,Medium,None,No,Yes,No,No,"Teenagers curiosity, Joy-seeking, Positive attitude toward drug abuse, Friends offer",No,,,"No, I do not",,,No,,,
22,Male,Undergraduate,Relatives,Should avoid,Alone,Yes,No,Average,Medium,4-Jan,No,No,No,No,"Teenagers curiosity, Joy-seeking, Parents’ divorce, Friends offer, Access to drugs, Stress relief, Failure in love",No,Cigarette,,"No, I do not",,At parties,,,,
22,Female,Undergraduate,Hall/Hostel,Should avoid,Family/Relatives,Yes,Yes,Very good,Medium,None,No,Yes,No,No,"Teenagers curiosity, Friends offer, Access to drugs, Low cost of drugs",No,Never taken,,,No drug,Do not use,No,Yes,,
21,Male,Postgraduate (MSc/PhD),Hall/Hostel,Should avoid,Alone,Yes,No,Very good,Medium,More than 5,No,Yes,No,Yes,"Teenagers curiosity, Friends offer, Access to drugs, Low cost of drugs, Stress relief, Failure in love, Emotionally hurt by others",Yes,Cigarette,21,"No, I do not",No drug,Do not use,Yes,Yes,"Friends offer, Stress relief",Sometimes
23,Male,Undergraduate,Friends,"Disease, should avoid",Friends,No,No,Satisfactory,Medium,None,No,Yes,No,No,Friends offer,No,,,,,,,,,
23,Male,Undergraduate,Family,Should avoid,Alone,Yes,Yes,Satisfactory,Medium,More than 5,Maybe,No,No,No,Emotionally hurt by others,No,,,,,,No,No,,
21,Male,Undergraduate,Family,Should avoid,Alone,Yes,Yes,Communication gap,Medium,More than 5,No,Yes,No,No,"Friends offer, Stress relief, Failure in love, Emotionally hurt by others",No,,,,,,No,No,,
22,Male,Undergraduate,Hall/Hostel,Should avoid,Family/Relatives,Yes,No,Very good,Medium,More than 5,Yes,No,Yes,No,,No,Never taken,No,"No, I do not",No drug,Do not use,Yes,Yes,Friends offer,No
15,Male,S.S.C / O level,Family,Should avoid,Family/Relatives,No,No,Very good,Medium,None,No,Yes,Yes,No,"Teenagers curiosity, Peer pressure, Failure in love, Emotionally hurt by others",No,,I don’t use drug,"No, I do not",Others,Do not use,No,No,,No
22,Female,Undergraduate,Family,Should avoid,Family/Relatives,No,Yes,Satisfactory,Medium,None,No,Yes,No,No,Teenagers curiosity,No,,,,,,,,,
23,Male,Undergraduate,Family,Should avoid,Friends,Yes,Yes,Very good,Poor,More than 5,Yes,No,No,Yes,"Low self-confidence, Friends offer, Low cost of drugs, Failure in love, Emotionally hurt by others",No,Weed,20,Ocasionally,No drug,Others,No,Yes,Failure in love,Yes
23,Male,Undergraduate,Hall/Hostel,Social trend,Alone,Yes,No,Very good,Medium,,,,,,,,,no,"No, I do not",,Social gathering,Yes,Yes,,Sometimes
22,Male,Undergraduate,Family,Should avoid,Alone,No,No,Very good,Medium,None,No,No,No,No,"Teenagers curiosity, Joy-seeking, Low self-confidence, Parents’ divorce, Crowded family, Friends offer, Access to drugs, Low cost of drugs, Peer pressure, Stress relief, Failure in love, Emotionally hurt by others",Yes,Alcohol,17,Ocasionally,Cigarette,Others,Yes,No,"Teenagers curiosity, Stress relief",Sometimes
23,Male,Undergraduate,Family,"Disease, should avoid",Friends,Yes,No,Satisfactory,Medium,None,No,Yes,No,No,,No,,,,,,No,,,
,Male,Undergraduate,Friends,"Social trend, should avoid",Friends,No,No,Very good,Medium,4-Jan,No,Yes,No,No,"Teenagers curiosity, Parents’ divorce, Friends offer, Stress relief, Failure in love",Yes,Weed,16,Ocasionally,Cigarette,Social gathering,Confused,No,Teenagers curiosity,Yes
23,Male,Undergraduate,Family,Should avoid,Family/Relatives,Yes,No,Very good,Medium,None,No,Yes,No,No,"Teenagers curiosity, Joy-seeking, Having strict parents, Friends offer, Stress relief, Failure in love, Emotionally hurt by others",Yes,Weed,16,"No, I do not",Cigarette,At parties,No,Yes,"Teenagers curiosity, Friends offer",Sometimes
22,Female,Undergraduate,Family,"Social trend, should avoid",Alone,Yes,Yes,Very good,Rich,More than 5,No,No,No,No,Joy-seeking,Yes,Cigarette,18,More than once a day,Cigarette,Before exams,No,Yes,Failure in love,Sometimes
23,Male,Undergraduate,Hall/Hostel,Should avoid,Alone,Yes,Yes,Very good,Medium,None,No,No,No,No,"Teenagers curiosity, Parents’ divorce, Friends offer, Access to drugs, Low cost of drugs, Stress relief, Failure in love, Emotionally hurt by others",Yes,Cigarette,22,Ocasionally,Cigarette,Social gathering,No,No,Teenagers curiosity,Yes
24,Male,Undergraduate,Alone,Should avoid,Alone,Yes,No,Very good,Medium,4-Jan,No,Yes,No,No,"Failure in love, Emotionally hurt by others",No,Cigarette,None,"No, I do not",Cigarette,Do not use,No,No,"Failure in love, Emotionally hurt by others",Yes
